index	lp	original	translation	z_mean
0	zh-en	不知道是不是错觉～反正自从有了4g～我发现我的2g经常打开图片都很困难～呵呵～还有今天很热很热很热～	I don't know if it's an illusion~ Anyway, since I have 4g~ I find that my 2g often finds it difficult to open pictures~ Haha~ and today is very hot, very hot, very hot~	-0.071919367
1	zh-en	院长一抖脚感觉整个办公室都在抖	The Dean shook his feet and felt that the whole office was shaking	0.664562616
2	zh-en	真的要奔溃.......为什么不能好好吃饭	I'm really going to collapse....why can't I eat well	0.664562616
3	zh-en	我居然买错车票，去了南宁东火车站	I actually bought the wrong ticket and went to Nanning East Railway Station	0.664562616
4	zh-en	楼上巨烦！臣妾想看个游戏王都他妈静不下心来。楼板要要塌了对楼上无语。典型奇葩护犊家长+熊孩子组合。有病。死孩子千万别被我逮着。	Trouble upstairs! The concubine wanted to watch a game of the king and couldn't calm down. The floor is about to collapse, and the upstairs is speechless. A typical combination of wonderful calf-protecting parents + bear children. ill. Don't let me catch a dead child.	-0.80840135
5	zh-en	为了一个鼠标求了三次，要求真不高，就五百	I begged three times for a mouse, the request is really not high, only five hundred	0.664562616
6	zh-en	为什么总把自己东西弄掉珍贵的不珍贵的都弄掉了又把眼镜弄掉了	Why do you always take away your own things that are precious and not precious, and then take off your glasses	-2.281365316
7	zh-en	海贼王更新得实在是太慢了看得不过瘾啊呜呜呜好想一次性看完一个岛哦以后就应该一个岛一大集	The update of One Piece is too slow to watch. I really want to watch one island at a time. After that, I should have a big episode on one island.	-0.80840135
8	zh-en	把腿给烫伤了，这几天都什么状况啊😭	I scalded my leg, what's going on these days😭	0.664562616
9	zh-en	选了一晚上，特别的给妈妈买了一箱抽纸，不出意外老妈收到的瞬间我会被骂，哈哈哈～不管了～🤗～睡觉😪！安呐～😘	I chose it for one night, especially bought a box of tissue paper for my mother, and I would be scolded the moment my mother received it, hahaha ~ don’t care~🤗~sleep😪! Ann~😘	0.664562616
10	zh-en	搜文献，果然是最开始，漫不经心时找到的最准确，可气的是一旦错失，再也找不回来	Searching for literature, it really is the beginning, the most accurate thing I found when I was indifferent, but the sad thing is that once I miss it, I can't find it again.	-0.071919367
11	zh-en	@微博客服网友不能发微博了，不能评论了，还说什么存在安全风险要解除，结果在自己家解除还尼玛不是常用登陆地点，搞什么鬼？不用手机不能玩微博的？	Netizens of @微博服务 can’t post on Weibo anymore, can’t comment anymore, and said that there is a security risk that needs to be removed, but it turns out that it’s not a common landing location to remove it at your own home, what the hell? Can't play Weibo without a mobile phone?	-0.071919367
12	zh-en	我就想找个没人认识的地儿，想说什么说什么，想做什么就做什么，什么都不管了~	I just want to find a place where no one knows, say what I want to say, do whatever I want, and don't care about anything~	0.664562616
13	zh-en	在微博上搜索东西就看到了这个[惊恐]太恐怖了[惊恐][惊恐]某些不坏好意的人啊，别想得逞[怒]当你做龌龊的事的时候，律师函等着呢[白眼]	Searching things on Weibo, I saw this [horrified] It's too scary [horrified] [horrified] Some people with bad intentions, don't try to succeed [angry] When you do something dirty, the lawyer's letter is waiting [white eyes]	0.664562616
14	zh-en	突然想起来。。。信用卡挂的是老妈的手机号。。。啊！！！	suddenly remembered. . . The credit card is linked to my mother's mobile phone number. . . what! ! !	0.664562616
15	zh-en	活得善良的人更容易有各种害怕。我一亲戚孩子被人脸上抓了几条痕，他母亲看了心疼得不得了，问：谁抓的？我去找他。孩子说：我又不是打不过他，用你找？母亲说：打他了吗？孩子说：没有，牙打掉了怎么办？母亲说：你不能打他身上？孩子说：骨头打断了怎办？我只把他举起来又放下了。恶人总是无所畏惧。	People who live a good life are more likely to have all kinds of fears. A relative's child of mine was scratched with a few scratches on the face. His mother was very distressed and asked: Who did it? I go to him. The child said: I can't beat him, so use you to find him? Mother said: Did you beat him? The child said: No, what should I do if my tooth is knocked out? Mother said: You can't hit him? The child said: What should I do if the bone is broken? I just lifted him up and put him down. The wicked are always fearless.	-0.80840135
16	zh-en	Sydney真的好漂亮。大家都好熱情！明天又要飛了～有點捨不得	Sydney is really beautiful. Everyone is so enthusiastic! I'm flying again tomorrow~ I'm a little reluctant	0.664562616
17	zh-en	外人的一点好当成莫大的恩惠所以觉得你善良亲密的人给你全世界变成理所应当所以无所谓了结果不过伤人罢了。	A little bit from outsiders is regarded as a great favor, so I feel that your kind and intimate person has become a natural thing for you in the world, so it doesn't matter, the result is just hurting people.	-0.071919367
18	zh-en	能相识已是缘分，每个人的出现都是有原因的。	It is fate to know each other, and everyone has a reason for their appearance.	-0.071919367
19	zh-en	现在的女孩子，要身高高就算了，还要不要瘦的，这个到底是什么鬼啊，我的天	Today's girls, it doesn't matter if you want to be tall, but also thin, what the hell is this, my god	0.517266219
20	zh-en	为什么电信在这网速特别慢，不至于啊	Why is the speed of the telecommunications network so slow here?	0.517266219
21	zh-en	说出最真实的感受就是对我越好我越害怕没那么勇敢曾经对全世界都坏只对我一个人好的人说过永远的人又等了我多久勇敢的走出了第一步却越走越累我爱哥哥可是我更爱自己	Saying the truest feeling is that the better you are to me, the more scared I am, the less brave I have been The more tired I get, the more I love my brother, but I love myself more	-0.80840135
22	zh-en	声优什么风的～啊哈哈哈哈啊哈哈哈哈好き	What is the style of the seiyuu~ ah ha ha ha ha ha ha ha ha ha	0.664562616
23	zh-en	卧槽他嘛这逼老师咋一比一个贱呢怎么上个课还得一天二十四小时都陪着你你想啥时候上就上不想上就不上是嘛你的时间宝贵别人的时间都算个屁是嘛蛇精病！	What the hell, this is forcing the teacher to be so cheap It's a fart, snake-sperm disease!	-3.754329282
24	zh-en	曾经，家里卫生间漏水淹到楼下那家，人跑上来吼了我一顿，今天，邻居告诉我楼下那家已经15年没住人了。	Once, the bathroom leaked and flooded the house downstairs, and people ran up to me and yelled at me. Today, the neighbor told me that the house downstairs has not lived in for 15 years.	0.664562616
25	zh-en	你看帮我拿包拧瓶盖的是你牵着我手过马路的是你生病了背着我去医院的是你上课偷跑替我答到的是你有氧训练可以做一百斤的是你跑八公里的是你会看电表的是你陪我睡觉陪我吃陪我闹陪我任性的都是你活出了你想要的男朋友的样子所以你才单身啊asb	Look at the one who helped me carry the bag and unscrew the bottle cap. It was you who held my hand and crossed the road. It was you who carried me to the hospital. You run eight kilometers, you can read the meter, you sleep with me, eat, fight with me, you live out the way you want, that's why you're single, asb	0.664562616
26	zh-en	心情不好果然不能喝酒......	I can't drink if I'm in a bad mood...	0.664562616
27	zh-en	怎么跑都跑不过盆友圈里的那几个再跑不到第一把在我前面的都删了	No matter how I run, I can't run the few in the circle of friends. I can't run the first one. I deleted the one in front of me.	-0.071919367
28	zh-en	﻿毕业了！真的不是很开心有你们的大学生活怎么可以过得这么快我怎么就这么舍不得呢	Graduated! I'm really not very happy. How can my college life be so fast with you? Why can't I be so reluctant?	-0.071919367
29	zh-en	网友爆料，今天上午，瑶海区花冲老年公寓一男子居然持刀抢劫自己的爷爷	Netizens broke the news that this morning, a man in the Huachong Senior Apartment in Yaohai District robbed his grandfather with a knife	-0.071919367
30	zh-en	被百度地图坑了！居然带了条不通的路！！！迟到定了！	Got trapped by Baidu Maps! There's actually a dead end! ! ! be late!	-0.071919367
31	zh-en	夜盲怎么破我草拟大业啊刮大树上了	How can night blindness break my drafting career?	-0.071919367
32	zh-en	再来一发面霜的表示现在真的特别！特别！！特别！！！的不爽啊！！！！	The expression of another hair cream is really special now! special! ! special! ! ! It's unpleasant! ! ! !	0.517266219
33	zh-en	弄不戳像了，心好累，我真不适合干这个烦死了，我这人就怕麻烦，还这么的纠缠不清，吹毛求疵的，受不了啊	I can't figure it out anymore, I'm so tired, I'm really not suitable to do this, I'm so annoying, I'm afraid of trouble, and I'm so entangled and picky, I can't stand it	0.664562616
34	zh-en	这个小狗死了没有？传说疯狗10日内必死可怕这个不可大意没事儿少招猫逗狗！有点恐怖……	Is this puppy dead? Legend has it that a mad dog will die within 10 days. This is not to be taken lightly, and it's okay to recruit cats and dogs! kinda scary...	-0.071919367
35	zh-en	原来，那趟飞机上的一帮温州旅客在法国过境时被海关卡住，原路遣返，一张机票只在空中飞了个来回。	It turned out that a group of Wenzhou passengers on that plane were stuck at customs when they were transiting in France and were repatriated the same way. One ticket only flew back and forth in the air.	0.664562616
36	zh-en	咳死我算求。。。。。。麻痹。。。	Cough to death I beg. . . . . . paralysis. . .	-0.80840135
37	zh-en	555...我还以为昨晚老总说的是胡话,会忘记今天请我吃饭,啊啊啊啊,为什么他说的是真的,这个电话我真不想接,各种理由各种借口Fi掉~奶奶滴,不是上班时间你还占用我时间,当我是机器啊,困累晕各种的。	555... I thought last night the boss was talking nonsense, and he would forget to invite me to dinner today, ah ah ah, why is what he said true, I really don't want to answer this call, all kinds of excuses ~Grandma, you still occupy my time when I'm not at work, when I'm a machine, I'm tired and dizzy.	-2.281365316
38	zh-en	母乳的妈妈太不容易每天晚上哄完孩子还有逼着自己吃撑为了夜里孩子不脱奶都坚持了将近九个月幸好我是吃再多也不长肉的人呐	It's not easy for a breastfeeding mother to coax her baby every night and force herself to eat for nearly nine months to keep her baby from weaning at night	-0.80840135
39	zh-en	啊啊啊不知是遭上帝妒忌还是坏事做太多遭报应可我发4我真是善良姑娘一枚啊所以没错就是太遭妒忌所以害我病痛缠身简直痛到心底底去了啊啊啊怎么还不天亮喉咙已经不行了神经也快要衰落了简直就是逼着我绝食	Ah, ah, I don't know if it's because I'm jealous of God or if I do too many bad things and get retribution, but I posted 4. I'm really a kind girl, so yes, I'm too jealous, so I'm sick and it hurts to the bottom of my heart. Before dawn, my throat is exhausted, my nerves are about to decline, it's forcing me to go on a hunger strike	-0.80840135
40	zh-en	不要问我为什么上不去车！左脚上来了，右脚被踩住了……	Don't ask me why I can't get in the car! The left foot came up, the right foot was stepped on...	0.664562616
41	zh-en	色彩斑斓的花朵、满天星辰的夜空、波光粼粼的河面、童话般的乐园和美妙的歌声，画面赏心悦目充满希望，如同每个人最开始的梦想。#被嫌弃的松子的一生#仿佛集合了所有事情最坏的结果。以为无比珍惜，背弃时更加彻底，该放弃时异常执着，她的人生在重拾希望处戛然而止，怀抱善意却不得善终。	The colorful flowers, the starry night sky, the sparkling river, the fairy tale paradise and the beautiful singing, the pictures are pleasing to the eye and full of hope, just like everyone's first dream. #Disgusted Matsuko's life# seems to be a collection of the worst results of all things. She thought she was extremely cherished, she was more thorough when she betrayed her, and she was very persistent when she should give up. Her life came to an abrupt end when she regained hope, but she could not end her life with good intentions.	0.664562616
42	zh-en	妈个鸡有人跟我说lzn我不服气！我就要选屁桃妹	Damn, someone told me lzn I'm not convinced! I'm going to choose fart peach girl	0.664562616
43	zh-en	李众星，都他妈是你犯贱，活瘠薄该，艹	Li Zhongxing, it's all your motherfucker, you deserve to live a barren life, fuck	0.664562616
44	zh-en	冬夜的雨，冷得刺骨，骑车差点摔一跤，裂开的手机屏应该救了我的膝盖。很惊讶我自己的淡然，有些事情我开始下定决心，可能之前不够勇敢，有些事情或许该尝试一回…	It was raining on a winter night and it was freezing cold. I almost fell while riding my bike. The cracked screen of my phone should have saved my knees. I was surprised at my own indifference. I started to make up my mind about some things, maybe I wasn't brave enough before, and maybe I should try some things...	0.664562616
45	zh-en	有些人永远不懂什么叫做感恩，不知道什么叫好！！真TM想断掉算了！！！！！！	Some people never know what is called gratitude, do not know what is called good! ! I really want to stop it! ! ! ! ! !	-0.80840135
46	zh-en	好烦，有种想死的感觉，怎么办？	So annoying, I feel like I want to die, what should I do?	0.664562616
47	zh-en	好久没有享受睡到自然醒的感觉了，苦逼的不要不要的	I haven't enjoyed the feeling of sleeping until I wake up naturally for a long time.	-0.80840135
48	zh-en	办公室政治，成了炮灰，超级恶心的人！	Office politics, become cannon fodder, super disgusting people!	0.664562616
49	zh-en	什么木头这么硬啊？门坏了，一个约六七毫米厚的木条，大锤轮圆了都打不进钉子	What kind of wood is so hard? The door is broken, a wooden bar about six or seven millimeters thick, the sledgehammer wheel is round and can't drive the nails	0.664562616
