index	original	translation	ref	score	tag	emotion_label	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	z_mean
0	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner of the university group , said that he had studied Chinese for 15 years and had a great influence on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
1	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner in the university group , said that he has been learning Chinese for 15 years and has had a huge impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
2	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner in the university team , said that he has been learning Chinese for 15 years , which has made a great impact on his life . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.1710344
3	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first-prize winner in the university group , said that he has studied Chinese for 15 years and found it had a huge impact on him . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.1710344
4	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner of the university group , said that he had been studying Chinese for 15 years and had a great impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
5	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner in the university group , said that he has learned Chinese for 15 years and has had a huge impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
6	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , the first prize winner of the university group , said that he had been learning Chinese for 15 years and had made a great impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
7	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Weicai , winner of the first prize in the university group , said that he had studied Chinese for 15 years and had had a great impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
8	大学组一等奖获得者林伟才感言说，学习汉语已有15年，对自己产生了巨大的影响。	"Lin Wei , winner of the first prize in the university group , said that he has been studying Chinese for 15 years and has had a great impact on himself . <EOS>"	"Lin Weicai, the first prize winner in the university team, said that he has been learning Chinese for 15 years, which has made a great impact on his life."	-5.333333	BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK	joy					0.1710344
9	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay competition , it is to describe in words the well-being brought to Cambodia under the &quot; Belt and Road &quot; and the traditional friendship between China and Cambodia . It is hoped that the younger generation will continue to add bricks to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK	joy					0.398491812
10	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay contest , it is to describe the well-being brought to Cambodia under the &quot; Belt and Road &quot; and the traditional friendship between China and Cambodia , and hope that the younger generation will continue to contribute to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
11	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia , and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
12	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"The essay competition aimed to describe in words the well-being brought to Cambodia under the &quot; Belt and Road &quot; Initiative and the traditional friendships between China and Cambodia , hoping that the young generation will continue to do what they can to enhance the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
13	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"The essay competition aimed to describe the well-being brought to Cambodia under the &quot; Belt and Road &quot; Initiative and the traditional friendships between China and Cambodia , hoping that the young generation will continue to do what they can to enhance the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
14	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay contest , it is to use words to describe the well-being brought to Cambodia under the &quot; Belt and Road &quot; and the traditional friendship between China and Cambodia . It is hoped that the younger generation will continue to contribute to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
15	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay contest , it is to describe in words the welfare brought to Cambodia under the &quot; Belt and Road Initiative &quot; and the traditional friendship between China and Cambodia . It is hoped that the younger generation will continue to add to the China-Cambodia friendship . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
16	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay competition , it is to use words to describe the well-being brought to Cambodia under the &quot; one belt , one road &quot; and the traditional friendship between China and Cambodia . It is hoped that the younger generation will continue to add to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	joy					0.398491812
17	通过征文大赛，就是用文字描述“一带一路”下为柬埔寨带来的福祉和中柬两国传统友谊，希望年青一代继续为中柬友谊添砖加瓦。	"Through the essay contest , it is to use words to describe the well-being brought to Cambodia under the &quot; One Belt , One Road &quot; and the traditional friendship between China and Cambodia . It is hoped that the young generation will continue to add bricks to the friendship between China and Cambodia . <EOS>"	"The contest enables him to describe the well-being brought about by the Belt and Road Initiative to Cambodia and the traditional friendship between China and Cambodia, and he said he hopes that the younger generation will continue to contribute to the friendship between China and Cambodia."	-4	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK	joy					0.398491812
