,source,MT,emotion_labels,error_types,error_severity
0,早上的我，竟然也变成了一个无理取闹的人……,"In the morning, I turned into an unreasonable person...",sadness,Omission,Somewhere in between
1,听故事的时候，你总喜欢眼巴巴的问，后来呢，可是当后来，自己成为讲故事的人，才发现，后来故事和话语就在嘴边，后来眼泪几度泪凝于睫，是真的说不下去了。。,"When listening to a story, you always like to ask questions, but later, when you become a storyteller, you realize that the story and the words are on your lips, and the tears condensed into your eyelashes several times later, it was true. Can't go on. .",sadness,Mistranslation; Mistranslation,Yes absolutely; Somewhere in between
2,睡得好好的，要去别的学校听课，天啊！,"Sleep well, go to another school to attend classes, oh my god!",anger,Mistranslation,Yes absolutely
3,管理学真是水的一比，努力的想听，依然坚持不过一分钟……考研怎么办呀,"Management is really a comparison of water. I want to listen hard, but I still can't hold on for a minute... What about the postgraduate entrance examination?",anger,Mistranslation,Yes absolutely
4,想去日本台湾冰岛英国北欧，签证说no，小短假也说no,"I want to go to Japan, Taiwan, Iceland, the United Kingdom, Northern Europe, and the visa says no, and the short vacation also says no.",sadness,None,Not at all
5,为何这么晚了还那么有精神呢，明天还要上班呢能乖乖💤么,"Why are you still so energetic so late, you have to go to work tomorrow, can you be good 💤",anger,Mistranslation,Somewhere in between
6,知道去年的分就能去中传我tm快炸了,"If you know last year's score, you can go to China Chuan and my tm is about to explode.",anger,Mistranslation,Yes absolutely
7,"昨晚得知，yaba竟把牙的阴历生日给忘了，先是说不出，后又蒙出个初10，还信誓旦旦的说，对就初十。Kou,YND","Last night, I learned that Yaba had forgotten Ya's birthday on the lunar calendar. First, he couldn't say it, and then he revealed the 10th of the lunar calendar. Kou,YND",anger,Omission; Mistranslation,Somewhere in between; Yes absolutely
8,舍友推荐的中韩梦之队确实好看看到了最新一期的紧张激烈的篮球赛紧张到我只希望中国赢一直很喜欢韩国的但看见韩国教练在中国比分落后时咧个大嘴笑我真是讨厌这个破教练！,The China-Korea Dream Team recommended by my roommate is really good. I saw the latest episode of the intense basketball game. I only hope that China wins Broken coach!,anger,Omission; Mistranslation,Yes absolutely; Yes absolutely
9,平时汤景之和妈妈有说不完的话，“队里的训练了，人员关系了，和我说很多话。,"Usually Tang Jingzhi and his mother have endless things to say, ""The training in the team, the relationship between the personnel, and I have a lot to say.",joy,None,Not at all
10,ISO9000有个啥求意义啊，人都要整疯，浪费纸,"What is the meaning of ISO9000, people are going crazy and waste paper",anger,Omission,Yes absolutely
11,"我喜欢你,我可凭一时冲动为你做好多事,不计较你是否喜欢我；但不敢爱你,因为爱你我会期望你为我做同样的事。我喜欢你,那我可以默默地,偶尔跳出来吓你一跳；但我不敢爱你,因为爱需要一直好好表现,永远拴住你的心。我喜欢你,才会告诉自己要高贵一些；但我不敢爱你,因为我不想让自己变得卑微。","I like you, and I can do many things for you on impulse, regardless of whether you like me or not; but I dare not love you, because I love you and I will expect you to do the same for me. I like you, then I can silently and occasionally jump out to scare you; but I dare not love you, because love needs to be well behaved all the time and tie your heart forever. If I like you, I will tell myself to be noble; but I dare not love you, because I don't want to make myself humble.",sadness,None,Not at all
12,原意是去吃海鲜，只是朋友不想吃套餐，想点菜吃，可是那海鲜不标价格，广东话又听不懂，没办法试探性地点了3个，要500港币,"The original intention was to eat seafood, but my friend didn't want to eat the set meal and wanted to order food, but the seafood was not marked with the price, and I couldn't understand Cantonese.",sadness,None,Not at all
13,真的挺不舒服的…比我想象的要难受得多,It's really uncomfortable...much more uncomfortable than I thought,anger,None,Not at all
14,死老头你要是早出现两个月我也不至于这两年每月都要往牡丹江跑受罪了,"If you appeared two months earlier, old man, I wouldn't have to go to Mudanjiang every month to suffer.",anger,None,Not at all
15,原来介玩意是叫草子糕啊！我活了30多年一直以为是槽子糕了！涨姿势了！,It turns out that the thing is called grass cake! I have lived for more than 30 years and always thought it was a trough cake! Get up!,surprise,Mistranslation,Somewhere in between
16,都TMD给我滚，一个个的，赶紧滚，越远越好,"All TMD for me, one by one, hurry up, the farther the better",anger,Mistranslation,Yes absolutely
17,坐我旁边的妹纸10月份才恋爱今天就领证了,The girl sitting next to me only fell in love in October and got the certificate today,surprise,Mistranslation,Somewhere in between
18,为何发的微博会莫明其妙消失，没有反政府反人民嘛！,Why did the Weibo post disappear inexplicably? There is no anti-government or anti-people!,surprise,None,Not at all
