lp,src,mt,score
zh-en,不知道是不是错觉～反正自从有了4g～我发现我的2g经常打开图片都很困难～呵呵～还有今天很热很热很热～,"I don't know if it's an illusion~ Anyway, since I have 4g~ I find that my 2g often finds it difficult to open pictures~ Haha~ and today is very hot, very hot, very hot~",-0.071919367
zh-en,院长一抖脚感觉整个办公室都在抖,The Dean shook his feet and felt that the whole office was shaking,0.664562616
zh-en,真的要奔溃.......为什么不能好好吃饭,I'm really going to collapse....why can't I eat well,0.664562616
zh-en,我居然买错车票，去了南宁东火车站,I actually bought the wrong ticket and went to Nanning East Railway Station,0.664562616
zh-en,楼上巨烦！臣妾想看个游戏王都他妈静不下心来。楼板要要塌了对楼上无语。典型奇葩护犊家长+熊孩子组合。有病。死孩子千万别被我逮着。,"Trouble upstairs! The concubine wanted to watch a game of the king and couldn't calm down. The floor is about to collapse, and the upstairs is speechless. A typical combination of wonderful calf-protecting parents + bear children. ill. Don't let me catch a dead child.",-0.80840135
zh-en,为了一个鼠标求了三次，要求真不高，就五百,"I begged three times for a mouse, the request is really not high, only five hundred",0.664562616
zh-en,为什么总把自己东西弄掉珍贵的不珍贵的都弄掉了又把眼镜弄掉了,"Why do you always take away your own things that are precious and not precious, and then take off your glasses",-2.281365316
zh-en,海贼王更新得实在是太慢了看得不过瘾啊呜呜呜好想一次性看完一个岛哦以后就应该一个岛一大集,"The update of One Piece is too slow to watch. I really want to watch one island at a time. After that, I should have a big episode on one island.",-0.80840135
zh-en,把腿给烫伤了，这几天都什么状况啊😭,"I scalded my leg, what's going on these days😭",0.664562616
zh-en,选了一晚上，特别的给妈妈买了一箱抽纸，不出意外老妈收到的瞬间我会被骂，哈哈哈～不管了～🤗～睡觉😪！安呐～😘,"I chose it for one night, especially bought a box of tissue paper for my mother, and I would be scolded the moment my mother received it, hahaha ~ don’t care~🤗~sleep😪! Ann~😘",0.664562616
zh-en,搜文献，果然是最开始，漫不经心时找到的最准确，可气的是一旦错失，再也找不回来,"Searching for literature, it really is the beginning, the most accurate thing I found when I was indifferent, but the sad thing is that once I miss it, I can't find it again.",-0.071919367
zh-en,@微博客服网友不能发微博了，不能评论了，还说什么存在安全风险要解除，结果在自己家解除还尼玛不是常用登陆地点，搞什么鬼？不用手机不能玩微博的？,"Netizens of @微博服务 can’t post on Weibo anymore, can’t comment anymore, and said that there is a security risk that needs to be removed, but it turns out that it’s not a common landing location to remove it at your own home, what the hell? Can't play Weibo without a mobile phone?",-0.071919367
zh-en,我就想找个没人认识的地儿，想说什么说什么，想做什么就做什么，什么都不管了~,"I just want to find a place where no one knows, say what I want to say, do whatever I want, and don't care about anything~",0.664562616
zh-en,在微博上搜索东西就看到了这个[惊恐]太恐怖了[惊恐][惊恐]某些不坏好意的人啊，别想得逞[怒]当你做龌龊的事的时候，律师函等着呢[白眼],"Searching things on Weibo, I saw this [horrified] It's too scary [horrified] [horrified] Some people with bad intentions, don't try to succeed [angry] When you do something dirty, the lawyer's letter is waiting [white eyes]",0.664562616
zh-en,突然想起来。。。信用卡挂的是老妈的手机号。。。啊！！！,suddenly remembered. . . The credit card is linked to my mother's mobile phone number. . . what! ! !,0.664562616
zh-en,活得善良的人更容易有各种害怕。我一亲戚孩子被人脸上抓了几条痕，他母亲看了心疼得不得了，问：谁抓的？我去找他。孩子说：我又不是打不过他，用你找？母亲说：打他了吗？孩子说：没有，牙打掉了怎么办？母亲说：你不能打他身上？孩子说：骨头打断了怎办？我只把他举起来又放下了。恶人总是无所畏惧。,"People who live a good life are more likely to have all kinds of fears. A relative's child of mine was scratched with a few scratches on the face. His mother was very distressed and asked: Who did it? I go to him. The child said: I can't beat him, so use you to find him? Mother said: Did you beat him? The child said: No, what should I do if my tooth is knocked out? Mother said: You can't hit him? The child said: What should I do if the bone is broken? I just lifted him up and put him down. The wicked are always fearless.",-0.80840135
zh-en,Sydney真的好漂亮。大家都好熱情！明天又要飛了～有點捨不得,Sydney is really beautiful. Everyone is so enthusiastic! I'm flying again tomorrow~ I'm a little reluctant,0.664562616
zh-en,外人的一点好当成莫大的恩惠所以觉得你善良亲密的人给你全世界变成理所应当所以无所谓了结果不过伤人罢了。,"A little bit from outsiders is regarded as a great favor, so I feel that your kind and intimate person has become a natural thing for you in the world, so it doesn't matter, the result is just hurting people.",-0.071919367
zh-en,能相识已是缘分，每个人的出现都是有原因的。,"It is fate to know each other, and everyone has a reason for their appearance.",-0.071919367
zh-en,现在的女孩子，要身高高就算了，还要不要瘦的，这个到底是什么鬼啊，我的天,"Today's girls, it doesn't matter if you want to be tall, but also thin, what the hell is this, my god",0.517266219
zh-en,为什么电信在这网速特别慢，不至于啊,Why is the speed of the telecommunications network so slow here?,0.517266219
zh-en,说出最真实的感受就是对我越好我越害怕没那么勇敢曾经对全世界都坏只对我一个人好的人说过永远的人又等了我多久勇敢的走出了第一步却越走越累我爱哥哥可是我更爱自己,"Saying the truest feeling is that the better you are to me, the more scared I am, the less brave I have been The more tired I get, the more I love my brother, but I love myself more",-0.80840135
zh-en,声优什么风的～啊哈哈哈哈啊哈哈哈哈好き,What is the style of the seiyuu~ ah ha ha ha ha ha ha ha ha ha,0.664562616
zh-en,卧槽他嘛这逼老师咋一比一个贱呢怎么上个课还得一天二十四小时都陪着你你想啥时候上就上不想上就不上是嘛你的时间宝贵别人的时间都算个屁是嘛蛇精病！,"What the hell, this is forcing the teacher to be so cheap It's a fart, snake-sperm disease!",-3.754329282
zh-en,曾经，家里卫生间漏水淹到楼下那家，人跑上来吼了我一顿，今天，邻居告诉我楼下那家已经15年没住人了。,"Once, the bathroom leaked and flooded the house downstairs, and people ran up to me and yelled at me. Today, the neighbor told me that the house downstairs has not lived in for 15 years.",0.664562616
zh-en,你看帮我拿包拧瓶盖的是你牵着我手过马路的是你生病了背着我去医院的是你上课偷跑替我答到的是你有氧训练可以做一百斤的是你跑八公里的是你会看电表的是你陪我睡觉陪我吃陪我闹陪我任性的都是你活出了你想要的男朋友的样子所以你才单身啊asb,"Look at the one who helped me carry the bag and unscrew the bottle cap. It was you who held my hand and crossed the road. It was you who carried me to the hospital. You run eight kilometers, you can read the meter, you sleep with me, eat, fight with me, you live out the way you want, that's why you're single, asb",0.664562616
zh-en,心情不好果然不能喝酒......,I can't drink if I'm in a bad mood...,0.664562616
zh-en,怎么跑都跑不过盆友圈里的那几个再跑不到第一把在我前面的都删了,"No matter how I run, I can't run the few in the circle of friends. I can't run the first one. I deleted the one in front of me.",-0.071919367
zh-en,﻿毕业了！真的不是很开心有你们的大学生活怎么可以过得这么快我怎么就这么舍不得呢,Graduated! I'm really not very happy. How can my college life be so fast with you? Why can't I be so reluctant?,-0.071919367
zh-en,网友爆料，今天上午，瑶海区花冲老年公寓一男子居然持刀抢劫自己的爷爷,"Netizens broke the news that this morning, a man in the Huachong Senior Apartment in Yaohai District robbed his grandfather with a knife",-0.071919367
zh-en,被百度地图坑了！居然带了条不通的路！！！迟到定了！,Got trapped by Baidu Maps! There's actually a dead end! ! ! be late!,-0.071919367
zh-en,夜盲怎么破我草拟大业啊刮大树上了,How can night blindness break my drafting career?,-0.071919367
zh-en,再来一发面霜的表示现在真的特别！特别！！特别！！！的不爽啊！！！！,The expression of another hair cream is really special now! special! ! special! ! ! It's unpleasant! ! ! !,0.517266219
zh-en,弄不戳像了，心好累，我真不适合干这个烦死了，我这人就怕麻烦，还这么的纠缠不清，吹毛求疵的，受不了啊,"I can't figure it out anymore, I'm so tired, I'm really not suitable to do this, I'm so annoying, I'm afraid of trouble, and I'm so entangled and picky, I can't stand it",0.664562616
zh-en,这个小狗死了没有？传说疯狗10日内必死可怕这个不可大意没事儿少招猫逗狗！有点恐怖……,"Is this puppy dead? Legend has it that a mad dog will die within 10 days. This is not to be taken lightly, and it's okay to recruit cats and dogs! kinda scary...",-0.071919367
zh-en,原来，那趟飞机上的一帮温州旅客在法国过境时被海关卡住，原路遣返，一张机票只在空中飞了个来回。,It turned out that a group of Wenzhou passengers on that plane were stuck at customs when they were transiting in France and were repatriated the same way. One ticket only flew back and forth in the air.,0.664562616
zh-en,咳死我算求。。。。。。麻痹。。。,Cough to death I beg. . . . . . paralysis. . .,-0.80840135
zh-en,"555...我还以为昨晚老总说的是胡话,会忘记今天请我吃饭,啊啊啊啊,为什么他说的是真的,这个电话我真不想接,各种理由各种借口Fi掉~奶奶滴,不是上班时间你还占用我时间,当我是机器啊,困累晕各种的。","555... I thought last night the boss was talking nonsense, and he would forget to invite me to dinner today, ah ah ah, why is what he said true, I really don't want to answer this call, all kinds of excuses ~Grandma, you still occupy my time when I'm not at work, when I'm a machine, I'm tired and dizzy.",-2.281365316
zh-en,母乳的妈妈太不容易每天晚上哄完孩子还有逼着自己吃撑为了夜里孩子不脱奶都坚持了将近九个月幸好我是吃再多也不长肉的人呐,It's not easy for a breastfeeding mother to coax her baby every night and force herself to eat for nearly nine months to keep her baby from weaning at night,-0.80840135
zh-en,啊啊啊不知是遭上帝妒忌还是坏事做太多遭报应可我发4我真是善良姑娘一枚啊所以没错就是太遭妒忌所以害我病痛缠身简直痛到心底底去了啊啊啊怎么还不天亮喉咙已经不行了神经也快要衰落了简直就是逼着我绝食,"Ah, ah, I don't know if it's because I'm jealous of God or if I do too many bad things and get retribution, but I posted 4. I'm really a kind girl, so yes, I'm too jealous, so I'm sick and it hurts to the bottom of my heart. Before dawn, my throat is exhausted, my nerves are about to decline, it's forcing me to go on a hunger strike",-0.80840135
zh-en,不要问我为什么上不去车！左脚上来了，右脚被踩住了……,"Don't ask me why I can't get in the car! The left foot came up, the right foot was stepped on...",0.664562616
zh-en,色彩斑斓的花朵、满天星辰的夜空、波光粼粼的河面、童话般的乐园和美妙的歌声，画面赏心悦目充满希望，如同每个人最开始的梦想。#被嫌弃的松子的一生#仿佛集合了所有事情最坏的结果。以为无比珍惜，背弃时更加彻底，该放弃时异常执着，她的人生在重拾希望处戛然而止，怀抱善意却不得善终。,"The colorful flowers, the starry night sky, the sparkling river, the fairy tale paradise and the beautiful singing, the pictures are pleasing to the eye and full of hope, just like everyone's first dream. #Disgusted Matsuko's life# seems to be a collection of the worst results of all things. She thought she was extremely cherished, she was more thorough when she betrayed her, and she was very persistent when she should give up. Her life came to an abrupt end when she regained hope, but she could not end her life with good intentions.",0.664562616
zh-en,妈个鸡有人跟我说lzn我不服气！我就要选屁桃妹,"Damn, someone told me lzn I'm not convinced! I'm going to choose fart peach girl",0.664562616
zh-en,李众星，都他妈是你犯贱，活瘠薄该，艹,"Li Zhongxing, it's all your motherfucker, you deserve to live a barren life, fuck",0.664562616
zh-en,冬夜的雨，冷得刺骨，骑车差点摔一跤，裂开的手机屏应该救了我的膝盖。很惊讶我自己的淡然，有些事情我开始下定决心，可能之前不够勇敢，有些事情或许该尝试一回…,"It was raining on a winter night and it was freezing cold. I almost fell while riding my bike. The cracked screen of my phone should have saved my knees. I was surprised at my own indifference. I started to make up my mind about some things, maybe I wasn't brave enough before, and maybe I should try some things...",0.664562616
zh-en,有些人永远不懂什么叫做感恩，不知道什么叫好！！真TM想断掉算了！！！！！！,"Some people never know what is called gratitude, do not know what is called good! ! I really want to stop it! ! ! ! ! !",-0.80840135
zh-en,好烦，有种想死的感觉，怎么办？,"So annoying, I feel like I want to die, what should I do?",0.664562616
zh-en,好久没有享受睡到自然醒的感觉了，苦逼的不要不要的,I haven't enjoyed the feeling of sleeping until I wake up naturally for a long time.,-0.80840135
zh-en,办公室政治，成了炮灰，超级恶心的人！,"Office politics, become cannon fodder, super disgusting people!",0.664562616
zh-en,什么木头这么硬啊？门坏了，一个约六七毫米厚的木条，大锤轮圆了都打不进钉子,"What kind of wood is so hard? The door is broken, a wooden bar about six or seven millimeters thick, the sledgehammer wheel is round and can't drive the nails",0.664562616
zh-en,﻿我们像傻瓜一样哭着笑着～～原来这才是真相～这才是我执意以为玩笑的真相～～～有犹豫就千万别做事情～别指望别人因你而改变～别浪费眼泪在不值得的人身上～～～即使忍不住～～～,We were crying and laughing like fools~~ So this is the truth~ This is the truth I insisted on joking~~ Don’t do anything if you are hesitant~ Don’t expect others to change because of you~ Don’t waste your tears On someone who is not worth it~~~ Even if I can't help it~~~,0.664562616
zh-en,在咖啡上面，棉花糖都会下雨！下雨了，下雨了，,"On top of coffee, marshmallows will rain! It's raining, it's raining,",0.664562616
zh-en,心情差极了，好久没有这么生气了，中介就是个引子，赶上他倒霉，今天一天都不顺利，很少有这么差的运气和心情了只想骂人骂人！对不起这个微博小号了，全是心情不好的帖子啊啊啊啊啊(ಥ_ಥ)还是好郁闷,"I'm in a very bad mood. I haven't been so angry for a long time. The intermediary is an introduction. It's unfortunate to catch up with him. Today's day is not smooth. It's rare to have such bad luck and mood. I just want to scold people! I’m sorry for this Weibo account, it’s full of bad mood posts ah ah ah ah ah ah ah ah ah ah ah (ಥ_ಥ) still very depressed",0.664562616
zh-en,园中的主要亮点是钵池山和水面面积达540亩的山子湖这里是淮安市最大的综合性公园。,The main highlights of the park are Bochi Mountain and Shanzi Lake with a water surface area of ​​540 mu. This is the largest comprehensive park in Huai'an City.,0.664562616
zh-en,那些上下班时间在车里吃面吃包子的在轻轨上吃烤肠的看到人多就放屁的,"Those who eat bread and buns in the car during commuting hours, and those who eat sausages on the light rail, fart when they see a lot of people",0.664562616
zh-en,四个月以后一个中转的航班都能被订完？？？万能的微博这合理吗？？？,Can a connecting flight be booked after four months? ? ? Almighty Weibo Is this reasonable? ? ?,-0.071919367
zh-en,转眼明天又星期四，时间过的不是一般的快。,"In the blink of an eye, tomorrow is Thursday again, and time does not pass so fast.",-0.071919367
zh-en,这人情搭的我心不甘情不愿感觉自己像个傻比一样合着嘴里含口土不光得笑着咽下去还要谢谢喂我土的人我他妈下次再搞不清楚情况瞎jb感谢就罚我变成罐头被端午吃掉,I'm unwilling to feel like a fool with this kind of love Thank you and punish me for turning it into a can and being eaten by the Dragon Boat Festival,-0.80840135
zh-en,史上，最难用卷发棒！！！我编个辫子再拆开，都比它夹的卷！！！,"The hardest curling iron ever! ! ! I braid it and then take it apart, it's better than the curl it holds! ! !",0.664562616
zh-en,完全没得瞌睡～明早怎么起得来啊！,I don't have to fall asleep at all~ How can I get up in the morning!,-0.80840135
zh-en,钟情于黑马的我们有多久没见了呢？那些我们曾经说好了的如今还算不算数？,How long has it been since we fell in love with dark horses? Are those things that we once said still count?,0.664562616
zh-en,周一早上状态不佳，都怪昨晚作死,"I'm not in good shape on Monday morning, it's all because of my death last night",-0.80840135
zh-en,学业。事业。爱情。终究不能兼得。,study. cause. love. Can't have both after all.,0.664562616
zh-en,我只想拌个黄瓜，结果又是黑暗料理,"I just want to mix a cucumber, it turns out to be a dark dish again",0.664562616
zh-en,准备买房了，突然有了压力，以后各种的活动旅游都没有了,"I'm about to buy a house, but suddenly I'm under pressure, and there will be no more activities and travel in the future.",0.664562616
zh-en,听说在北方冬天收衣服真的是这个样子的？,I heard that collecting clothes in the northern winter is really like this?,0.664562616
zh-en,我已经被楼上装修的逼疯了，一到午休时间就轰隆轰隆,"I've been driven crazy by the decoration upstairs, and it's rumbling as soon as the lunch break is over.",-0.071919367
zh-en,都这时候了，睡觉还能被蚊子咬肿了嘴巴也真是醉醉的。蚊坚强！带着你的弟兄们快离开,"At this time, it is really drunk to be bitten by mosquitoes while sleeping with a swollen mouth. Mosquito is strong! Take your brothers and leave",-0.80840135
zh-en,素质啊素质，没救了，只顾自己停车停的爽,"Quality, quality, no help, just caring about the coolness of parking",-0.80840135
zh-en,每次看到这糟头发，我就想吃药。长不长头发难道还是剪,"Every time I see this bad hair, I want to take medicine. Should I cut my hair long?",-0.071919367
zh-en,静不下来，静不下来，静不下来～～～,"Can't be quiet, can't be quiet, can't be quiet",0.664562616
zh-en,南充高中转着正在感叹学校修得大气磅礴，教研组长王老师大汗淋漓跑来解释这石雕：石打九书（十打九输），上面顶了个日晷（日了鬼），刚刚还在感叹人家学校雕塑多有文化，书籍和时间，结果瞬间自己变石雕了…,"Nanchong High School was sighing that the school was built magnificently. Teacher Wang, the head of the teaching and research team, came to explain the stone sculpture: stone beats nine books (ten beats and nine loses), with a sundial on it (sunrise ghost). Sculptures have many cultures, books and time, and they turned into stone sculptures in an instant...",-0.071919367
zh-en,嘤嘤嘤翻牌了开森受宠若惊晚安么么哒,"嘤嘤嘤 flopped, Kaisen is flattered, good night, okay?",-1.544883333
zh-en,心疼哭，找个医生好好照顾他，赶紧好起来呀，我们要看到一个活泼的健康的boy，其他的都不重要了,"I feel distressed and cry, find a doctor to take good care of him, get well soon, we want to see a lively and healthy boy, the rest is not important",0.517266219
zh-en,这个月我都第二次躺病床上啦。他大爷，往年没这么衰啊！,"This is my second time in bed this month. His uncle, it wasn't so bad in previous years!",-0.80840135
zh-en,这一天天的，天天背题，头都大了，,"Day by day, day by day, my head is getting bigger,",-0.80840135
zh-en,韩束那个居然是演唱会双11以后哪还有钱买门票,"That Han Shu is actually a concert after Double 11, how can there be money to buy tickets",0.664562616
zh-en,燥死了，烦死了，还是一个人睡好,"I'm tired, I'm bored, I'd better sleep alone",-0.80840135
zh-en,肥成猪！！！明天开始真不能吃了！！！WTF争气一点啊我！！,"Fat pig! ! ! I can't eat it starting tomorrow! ! ! WTF is a little bit better, ah me! !",-0.80840135
zh-en,这位居然是。。。赵忠祥！不同角度的视觉效果也太不一样了！,This one is. . . Zhao Zhongxiang! The visual effects from different angles are too different!,0.664562616
zh-en,啊啊啊啊啊啊啊啊，破PPT整死我算了,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,-0.80840135
zh-en,有个问题是“听过一万张唱片是什么体验”。没什么体验，就是每次被问“你最喜欢什么类型的音乐”时张口结舌，好不容易说个“没什么固定类型，还是看好不好听”又烦自己废话那么多,"One question is ""what's the experience of listening to 10,000 records"". I don't have much experience, but every time I'm asked ""what type of music do you like the most"", my mouth is stunned, and I finally say ""I don't have a fixed type, so I'd better like it or not.""",-0.80840135
zh-en,记住了！千万别惹我！否则你怎么死的都不知道,remember! Don't mess with me! Otherwise you don't know how you died,0.664562616
zh-en,老師成功拖堂六分鐘，七分鐘。，，，，,"The teacher successfully dragged the class for six minutes, seven minutes. ,,,,",-0.80840135
zh-en,什么叫做深闺大小姐！我只是出了车祸在家里养伤，过两天自然会去上班，碍您哪里了！一直待在家里游手好闲的可不是我！,What is a boudoir eldest lady! I just had a car accident and was recuperating at home. I will naturally go to work in two days. What's wrong with you! I'm not the one who stays at home all the time loafing around!,0.517266219
zh-en,连续吊了两天每次针孔插进去的那刻都怕,"Hanging for two days in a row, every time the pinhole is inserted, I am afraid",0.664562616
zh-en,与其说战争是政治的延续，不如说战争是经济的延续。这次局部的摩擦，明显已经在向危险和不可控边缘滑落，它反应的是目前世界经济状况堪忧，大国之间的资源争夺与政经博弈在全球都会进一步的加剧——如果子弹代替了合作，那只能说明经济形势已经糟糕到合作已经无法共赢，而只有用刀子抢劫了。,"War is not so much a continuation of politics as it is a continuation of economics. This local friction has obviously slipped to the edge of danger and uncontrollability. It reflects the current world economic situation is worrying, and the competition for resources and political and economic games between major powers will further intensify around the world - if bullets replace cooperation , it can only show that the economic situation is so bad that cooperation can no longer win, and only robbery with a knife.",0.664562616
zh-en,本喵get了新技能，技能点都点在这些没卵用的地方了考试怎么办,"I got new skills, and the skill points are all in these useless places. What should I do in the exam?",0.664562616
zh-en,快被蚊子咬死了。不知道这一躺下，什么时候又被咬起来了。,Almost killed by mosquitoes. I don't know when I lay down and was bitten again.,-0.071919367
zh-en,喜欢微风拂面的感觉，清风袭来，所有的烦恼都跑光了，或许还会有意外的收获,"I like the feeling of the breeze blowing my face. When the breeze hits, all the troubles are gone, and there may be unexpected gains.",0.664562616
zh-en,你爱喝的咖啡调配比例在这里，在这里，在这里,"Your favorite coffee blend ratio is here, here, here",0.664562616
zh-en,天天在想跟谁可以借钱，都不能安心看书了，看书效率也低，可能都考不上了，不想考了，出去流浪算了,"Every day I wonder who I can borrow money from, but I can’t read with peace of mind. The efficiency of reading is also low, and I may not be able to pass the test. I don’t want to take the test.",-0.071919367
zh-en,看看这位武林人士，拿着一把大刀，留着一头极为个性的头发！行走在茫茫人海中，穿梭在大街小巷，回头率1000％我想说的是，您老是不是穿越过来的？,"Look at this martial arts man, holding a big knife, with a head of very individual hair! Walking in the vast sea of ​​people, shuttling in the streets and alleys, the rate of return is 1000%. What I want to say is, have you always crossed over?",-0.80840135
zh-en,我也不知道我为什么大冬天啃冰棍…嗓子要冒烟…彻底感冒…,I don't know why I eat popsicles in winter... my throat is smoking... I have a cold...,0.664562616
zh-en,我晕真的是不想管了真的受够了郁闷烦躁,"I'm dizzy, I really don't want to worry about it, I'm fed up with being depressed",-0.80840135
zh-en,為什麼球門有框！真的是醉了，國足，你們能不能讓大家歡呼一場！！,"Why is the goal framed! Really drunk, the national football team, can you make everyone cheer! !",-0.80840135
zh-en,今天是什么日子啊，我妈对我不满意，我爸对我不满意，我妈对我爸不满意，我爸对我妈也不满意，我对我爸妈不满意，都不满意，还有今天的地铁也挤得完全没人性,"What day is it today, my mother is not satisfied with me, my father is not satisfied with me, my mother is not satisfied with my father, my father is not satisfied with my mother, I am not satisfied with my parents, not satisfied, still Even today's subways are completely inhuman.",0.664562616
zh-en,天天在另一个号混已经忘了这个号了，然后惊奇的发现有人送这个号三月会员。。。感动到死！好！我要报告我最近干嘛去了，大概就是前天吧，病的比较严重，当时疼得比较厉害。在我们班长和老师陪了一整晚打吊瓶后就完全恢复了。,"I have forgotten this account in another account every day, and then I was surprised to find that someone gave this account a March membership. . . Impressed to death! it is good! I want to report why I went there recently, probably the day before yesterday. I was seriously ill, and the pain was severe at the time. After a whole night of hanging bottles with our monitor and teacher, I recovered completely.",0.664562616
zh-en,竟然是民主党我一直以为自己是自由党,"It turned out to be a Democrat, I always thought I was a Liberal",0.664562616
zh-en,妈蛋！刚睡着，被个酒鬼同事打电话又给吵醒啦,Damn it! Just fell asleep and was woken up by an alcoholic colleague on the phone,0.664562616
zh-en,今早瑶破天荒6点40就醒了，要知道平常不到7点半绝不起床，赖床大王提前出门送瑶去学校，本来每天只送到学校路口，今天头脑一热把车开进了往学校的小马路，果不其然被堵在里面掉不得头超不喜欢这样的下雨天～,"This morning, Yao woke up at 6:40 for the first time in history. You must know that she usually never gets up before 7:30. The king of the bed went out early to send Yao to school. Originally, it was only sent to the school intersection every day. The small road to the school, as expected, was blocked inside and couldn't turn around. I don't like such rainy days~",0.664562616
zh-en,手机砸脸上了，真疼，生气了，不玩了、碎觉！,"The phone hit my face, it really hurts, I get angry, stop playing, and feel broken!",0.517266219
zh-en,"人人有剪刀,人人会剪纸,人人有作品,人人能创作是学校的口号和目标。","Everyone has scissors, everyone can cut paper, everyone has works, and everyone can create is the school's slogan and goal.",0.664562616
zh-en,建议直接物理阉割，化学阉割太便宜他了。不是人的狗东西,"Direct physical castration is recommended, chemical castration is too cheap for him. not human dog",-0.80840135
zh-en,三天补完了黎明之前最好谍战没有之一全剧智商在线就是太虐了啊波酥心疼死我了,"After three days of making up for the best spy battle before dawn, there is no one of the best spy battles in the whole drama. IQ Online is too cruel. Bosu hurts me to death",-2.281365316
zh-en,“单恋最开心，对方一个问候，就会高兴个半天。不管对方怎样反应，自己开心就好。可是在一起后，便开始计较得失。总是希望付出与收获成正比。计较着计较着，也就没多少感情剩下了。”,"""Unrequited love is the happiest, and the other party will be happy for a long time when they greet each other. No matter how the other party reacts, it's good for you to be happy. But after being together, you start to care about the gains and losses. You always hope that the effort will be proportional to the gain. There's not much emotion left.""",-0.071919367
zh-en,为什么总是要在只有我一个人的时候互相残杀？这样我会很尴尬的啊，我害怕啊！鸡皮疙瘩掉一地！已经没有什么比捞死鱼跟恐怖的事了[抓狂][抓狂],"Why are they always killing each other when it's just me? I will be embarrassed, I am afraid! Goosebumps all over the place! There is nothing scarier than catching dead fish [crazy] [crazy]",0.517266219
zh-en,整天生一些有七没八的破事折腾人，天怒人怨遭雷劈！！！,"There are some bad things happening all day long, tossing people, the anger of the sky and the resentment of being struck by lightning! ! !",-0.80840135
